x,y,z
0.00113802,0.00124178,0
0.0115933,-0.0257449,0
0.031741,-0.0109378,0
0.0566983,-0.0124087,0
0.081442,-0.015964,0
0.105575,-0.0224948,0
0.128537,-0.0323733,0
0.149588,-0.0458621,0
0.170285,-0.0598819,0
0.190811,-0.074158,0
0.211392,-0.0883456,0
0.231778,-0.102823,0
0.252279,-0.11713,0
0.272659,-0.131604,0
0.292935,-0.146231,0
0.313272,-0.16077,0
0.333548,-0.175397,0
0.353738,-0.190137,0
0.373935,-0.204877,0
0.394131,-0.219608,0
0.4142,-0.234519,0
0.434359,-0.249304,0
0.454629,-0.263938,0
0.474911,-0.278549,0
0.495199,-0.293161,0
0.51553,-0.307709,0
0.535861,-0.322254,0
0.556234,-0.33674,0
0.576584,-0.351264,0
0.596939,-0.365784,0
0.617318,-0.380262,0
0.63768,-0.394767,0
0.658072,-0.409232,0
0.678451,-0.423709,0
0.698825,-0.438202,0
0.719204,-0.452677,0
0.739584,-0.467157,0
0.759982,-0.481607,0
0.780368,-0.496082,0
0.800772,-0.510526,0
0.82117,-0.524985,0
0.841556,-0.53946,0
0.861953,-0.553913,0
0.882339,-0.568378,0
0.902749,-0.582822,0
0.923141,-0.597281,0
0.943527,-0.61175,0
0.963931,-0.6262,0
0.984323,-0.640662,0
1.00472,-0.655112,0
1.02512,-0.669565,0
1.04552,-0.684024,0
1.06591,-0.698477,0
1.08631,-0.712931,0
1.10672,-0.727368,0
1.12713,-0.741815,0
1.14752,-0.756269,0
1.16793,-0.770706,0
1.18834,-0.78515,0
1.20875,-0.799588,0
1.22916,-0.814023,0
1.24957,-0.828461,0
1.26999,-0.842893,0
1.2904,-0.857328,0
1.31081,-0.871753,0
1.33123,-0.886182,0
1.35164,-0.900614,0
1.37206,-0.915036,0
1.39249,-0.929456,0
1.41291,-0.943872,0
1.43334,-0.958283,0
1.45377,-0.97269,0
1.47421,-0.987088,0
1.49465,-1.00148,0
1.5151,-1.01587,0
1.53554,-1.03025,0
1.556,-1.04462,0
1.57646,-1.05899,0
1.59692,-1.07335,0
1.61739,-1.08771,0
1.63786,-1.10206,0
1.65832,-1.11643,0
1.67866,-1.13096,0
1.67866,-1.13096,0
0.00113802,0.00124178,0
0.0115933,-0.0257449,0
0.031741,-0.0109378,0
0.0566983,-0.0124087,0
0.081442,-0.015964,0
0.105575,-0.0224948,0
0.128537,-0.0323733,0
0.149588,-0.0458621,0
0.170285,-0.0598819,0
0.190811,-0.074158,0
0.211392,-0.0883456,0
0.231778,-0.102823,0
0.252279,-0.11713,0
0.272659,-0.131604,0
0.292935,-0.146231,0
0.313272,-0.16077,0
0.333548,-0.175397,0
0.353738,-0.190137,0
0.373935,-0.204877,0
0.394131,-0.219608,0
0.4142,-0.234519,0
0.434359,-0.249304,0
0.454629,-0.263938,0
0.474911,-0.278549,0
0.495199,-0.293161,0
0.51553,-0.307709,0
0.535861,-0.322254,0
0.556234,-0.33674,0
0.576584,-0.351264,0
0.596939,-0.365784,0
0.617318,-0.380262,0
0.63768,-0.394767,0
0.658072,-0.409232,0
0.678451,-0.423709,0
0.698825,-0.438202,0
0.719204,-0.452677,0
0.739584,-0.467157,0
0.759982,-0.481607,0
0.780368,-0.496082,0
0.800772,-0.510526,0
0.82117,-0.524985,0
0.841556,-0.53946,0
0.861953,-0.553913,0
0.882339,-0.568378,0
0.902749,-0.582822,0
0.923141,-0.597281,0
0.943527,-0.61175,0
0.963931,-0.6262,0
0.984323,-0.640662,0
1.00472,-0.655112,0
1.02512,-0.669565,0
1.04552,-0.684024,0
1.06591,-0.698477,0
1.08631,-0.712931,0
1.10672,-0.727368,0
1.12713,-0.741815,0
1.14752,-0.756269,0
1.16793,-0.770706,0
1.18834,-0.78515,0
1.20875,-0.799588,0
1.22916,-0.814023,0
1.24957,-0.828461,0
1.26999,-0.842893,0
1.2904,-0.857328,0
