x,y,z
-0.00296049,-0.000561812,0
0.0261685,-0.0195407,0
0.0511624,-0.0189181,0
0.0761502,-0.0182864,0
0.10115,-0.0178378,0
0.126144,-0.0174319,0
0.151144,-0.0171847,0
0.176144,-0.017023,0
0.201144,-0.0171023,0
0.226144,-0.0172641,0
0.251144,-0.0175662,0
0.276138,-0.0179568,0
0.301132,-0.0184665,0
0.326126,-0.0190738,0
0.351114,-0.0197909,0
0.376101,-0.0206058,0
0.401083,-0.0215304,0
0.426065,-0.0225558,0
0.45104,-0.0236819,0
0.47601,-0.0249118,0
0.500973,-0.0262424,0
0.525931,-0.0276767,0
0.550888,-0.0292056,0
0.575833,-0.0308414,0
0.600772,-0.0325717,0
0.625705,-0.0344058,0
0.650631,-0.0363345,0
0.675546,-0.038367,0
0.700454,-0.040491,0
0.725357,-0.0427218,0
0.750247,-0.0450412,0
0.775131,-0.0474673,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.937381,-0.156089,0
0.953219,-0.175431,0
0.967599,-0.195883,0
0.981735,-0.216501,0
0.99581,-0.237162,0
1.01075,-0.257205,0
1.02555,-0.277353,0
1.04018,-0.297629,0
1.05524,-0.317581,0
1.07017,-0.337635,0
1.08502,-0.357749,0
1.10011,-0.377683,0
1.11508,-0.397705,0
1.13003,-0.417737,0
1.14497,-0.437784,0
1.15998,-0.457773,0
1.17499,-0.477768,0
1.18996,-0.497788,0
1.20501,-0.517752,0
1.22004,-0.537732,0
1.23505,-0.557721,0
1.25011,-0.577677,0
1.26515,-0.597647,0
1.28019,-0.617621,0
1.29522,-0.637598,0
1.31027,-0.65756,0
1.32532,-0.677521,0
1.34035,-0.697498,0
1.35542,-0.71745,0
1.37047,-0.737409,0
1.38551,-0.757376,0
1.40058,-0.777329,0
1.41563,-0.797287,0
1.43069,-0.817246,0
1.44574,-0.837204,0
1.46081,-0.857154,0
1.47589,-0.877088,0
1.49098,-0.897022,0
1.50612,-0.916919,0
1.52129,-0.936786,0
1.53653,-0.95661,0
1.5518,-0.976398,0
1.56714,-0.99614,0
1.58263,-1.01577,0
1.59823,-1.0353,0
1.61385,-1.05482,0
1.62971,-1.07415,0
1.64572,-1.09335,0
1.66201,-1.11231,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.00296049,-0.000561812,0
0.0261685,-0.0195407,0
0.0511624,-0.0189181,0
0.0761502,-0.0182864,0
0.10115,-0.0178378,0
0.126144,-0.0174319,0
0.151144,-0.0171847,0
0.176144,-0.017023,0
0.201144,-0.0171023,0
