x,y,z
-0.050768,-0.105291,0
0.0184368,-0.203145,0
0.0954472,-0.322154,0
0.181089,-0.467973,0
0.264192,-0.620278,0
0.334285,-0.746568,0
0.401728,-0.848742,0
-0.0513029,-0.105202,0
0.0179765,-0.203092,0
0.0950663,-0.322126,0
0.180819,-0.467969,0
0.264056,-0.620263,0
0.334239,-0.746555,0
0.401728,-0.848742,0
-0.0507827,-0.106196,0
0.0183904,-0.203943,0
0.0953894,-0.322811,0
0.181056,-0.46846,0
0.264203,-0.620575,0
0.334313,-0.746702,0
0.401728,-0.848742,0
-0.0505067,-0.105096,0
0.0186689,-0.202966,0
0.095642,-0.322002,0
0.181225,-0.467855,0
0.264254,-0.620212,0
0.334301,-0.746541,0
0.401728,-0.848742,0
-0.0508267,-0.105355,0
0.0183482,-0.203203,0
0.0952781,-0.322272,0
0.18071,-0.468192,0
0.263482,-0.620631,0
0.333713,-0.746872,0
0.401728,-0.848742,0
-0.0496804,-0.10584,0
0.019322,-0.20358,0
0.0960755,-0.32255,0
0.181278,-0.468363,0
0.263778,-0.620762,0
0.333822,-0.746943,0
0.401728,-0.848742,0
-0.0499251,-0.10546,0
0.0191225,-0.203261,0
0.0959154,-0.322298,0
0.18116,-0.468188,0
0.26371,-0.620649,0
0.333791,-0.746889,0
0.401728,-0.848742,0
-0.0500769,-0.105785,0
0.0189826,-0.203544,0
0.0957976,-0.322527,0
0.181081,-0.468355,0
0.263678,-0.620748,0
0.333786,-0.746933,0
0.401728,-0.848742,0
-0.049958,-0.105311,0
0.0190945,-0.203145,0
0.0958878,-0.322214,0
0.181137,-0.468137,0
0.263698,-0.620616,0
0.333787,-0.746873,0
0.401728,-0.848742,0
-0.0499027,-0.10613,0
0.0191343,-0.203867,0
0.0959634,-0.322764,0
0.181366,-0.468463,0
0.264176,-0.620674,0
0.334187,-0.746805,0
0.401728,-0.848742,0
-0.0502443,-0.105338,0
0.0188697,-0.203178,0
0.0957633,-0.322202,0
0.181218,-0.46805,0
0.264077,-0.620414,0
0.334132,-0.746685,0
0.401728,-0.848742,0
-0.0501414,-0.105668,0
0.0189472,-0.203462,0
0.0958215,-0.322431,0
0.181263,-0.468216,0
0.264108,-0.620518,0
0.33415,-0.746733,0
0.401728,-0.848742,0
-0.0503554,-0.105652,0
0.0187581,-0.203469,0
0.0956585,-0.322452,0
0.181145,-0.468247,0
0.264054,-0.620531,0
0.334136,-0.746736,0
0.401728,-0.848742,0
-0.0493213,-0.106631,0
0.0196209,-0.204275,0
0.0963596,-0.323078,0
0.181651,-0.468672,0
0.264331,-0.620816,0
0.334249,-0.746875,0
0.401728,-0.848742,0
-0.0505951,-0.105257,0
0.0185623,-0.203125,0
0.0954921,-0.322182,0
0.180979,-0.468072,0
0.263863,-0.620458,0
0.334,-0.746727,0
0.401728,-0.848742,0
-0.0506745,-0.105327,0
0.0184894,-0.203192,0
0.0954283,-0.32224,0
0.180934,-0.468119,0
0.263844,-0.620485,0
0.333996,-0.746738,0
0.401728,-0.848742,0
-0.0506975,-0.105132,0
0.0184851,-0.202999,0
0.0954411,-0.322066,0
0.180945,-0.467972,0
0.263835,-0.620397,0
0.333981,-0.7467,0
0.401728,-0.848742,0
-0.0508506,-0.106149,0
0.0183082,-0.203919,0
0.095263,-0.32284,0
0.180824,-0.468565,0
0.263814,-0.620753,0
0.334008,-0.746857,0
0.401728,-0.848742,0
-0.0506043,-0.106351,0
0.0185146,-0.204083,0
0.0954311,-0.322967,0
0.180945,-0.468651,0
0.263879,-0.620812,0
0.334034,-0.746886,0
0.401728,-0.848742,0
-0.0497315,-0.105217,0
0.0193191,-0.203043,0
0.0961387,-0.322074,0
0.181473,-0.467939,0
0.264175,-0.620369,0
0.334143,-0.746676,0
0.401728,-0.848742,0
-0.0505035,-0.105934,0
0.0186214,-0.203715,0
0.0955402,-0.322654,0
0.181055,-0.4684,0
0.263993,-0.62063,0
0.334107,-0.746785,0
0.401728,-0.848742,0
-0.0504288,-0.105521,0
0.0186976,-0.203358,0
0.0956066,-0.322366,0
0.181097,-0.468192,0
0.264005,-0.620504,0
0.334103,-0.746729,0
0.401728,-0.848742,0
-0.0503063,-0.105746,0
0.0188003,-0.203537,0
0.0956945,-0.3225,0
0.181163,-0.468277,0
0.26404,-0.62056,0
0.334116,-0.746756,0
0.401728,-0.848742,0
-0.0506372,-0.105584,0
0.0185178,-0.203415,0
0.0954605,-0.322412,0
0.180995,-0.468226,0
0.263954,-0.620521,0
0.334086,-0.746735,0
0.401728,-0.848742,0
-0.0502941,-0.105408,0
0.018804,-0.203252,0
0.0956597,-0.322301,0
0.18103,-0.46819,0
0.263761,-0.620593,0
0.333885,-0.746828,0
0.401728,-0.848742,0
-0.0498637,-0.106191,0
0.0191547,-0.203905,0
0.0959446,-0.322814,0
0.181241,-0.468543,0
0.263884,-0.620821,0
0.33394,-0.746936,0
0.401728,-0.848742,0
-0.0496859,-0.105466,0
0.0193386,-0.203251,0
0.0961172,-0.322265,0
0.181359,-0.468124,0
0.263916,-0.62057,0
0.333928,-0.746825,0
0.401728,-0.848742,0
-0.0507569,-0.105296,0
