x,y,z
-0.0506991,-0.109052,0
-0.0358401,-0.135199,0
-0.0438724,-0.158872,0
-0.0505862,-0.182953,0
-0.0552432,-0.207517,0
-0.0419955,-0.22872,0
-0.0293979,-0.250312,0
-0.0168551,-0.271939,0
-0.00442534,-0.293628,0
0.00872469,-0.314893,0
0.0217801,-0.336212,0
0.0347562,-0.357581,0
0.0477323,-0.378949,0
0.0609769,-0.40015,0
0.0742093,-0.421366,0
0.087399,-0.442603,0
0.100802,-0.463706,0
0.114169,-0.48483,0
0.127505,-0.505979,0
0.140829,-0.52713,0
0.154281,-0.548206,0
0.167709,-0.569287,0
0.181125,-0.590384,0
0.194534,-0.611487,0
0.208029,-0.632529,0
0.221505,-0.653589,0
0.234976,-0.674649,0
0.253677,-0.691236,0
0.270761,-0.709488,0
0.286197,-0.729157,0
0.300003,-0.749997,0
0.304324,-0.790546,0
0.318899,-0.810855,0
0.33475,-0.830188,0
0.350003,-0.849997,0
0.400003,-0.899997,0
0.438168,-0.939865,0
0.458163,-0.954874,0
0.479709,-0.967554,0
0.504623,-0.965506,0
0.529507,-0.96312,0
0.554483,-0.962009,0
0.579458,-0.960874,0
0.604452,-0.960285,0
0.629446,-0.959745,0
0.654446,-0.959519,0
0.679446,-0.959372,0
0.704446,-0.959442,0
0.729446,-0.959613,0
0.75444,-0.959958,0
0.779434,-0.960413,0
0.804428,-0.96102,0
0.829416,-0.961753,0
0.854403,-0.962625,0
0.879385,-0.963629,0
0.904355,-0.964774,0
0.929324,-0.966059,0
0.954281,-0.967478,0
0.979233,-0.969043,0
1.00418,-0.970746,0
1.02911,-0.972599,0
1.05403,-0.974588,0
1.07893,-0.976731,0
1.10383,-0.979016,0
1.12871,-0.981455,0
1.15358,-0.984037,0
1.17843,-0.986777,0
1.20326,-0.989658,0
1.22807,-0.992704,0
1.25289,-0.995734,0
1.27767,-0.999057,0
1.3024,-1.0027,0
1.32707,-1.0068,0
1.35163,-1.01143,0
1.37607,-1.0167,0
1.40085,-1.01999,0
1.42527,-1.02537,0
1.44917,-1.03268,0
1.47261,-1.04138,0
1.49564,-1.0511,0
1.51884,-1.06041,0
1.54167,-1.07061,0
1.56377,-1.08229,0
1.58574,-1.09423,0
1.60875,-1.104,0
1.63164,-1.11406,0
1.65484,-1.12336,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.0511752,-0.108429,0
-0.0362094,-0.135089,0
-0.0440494,-0.158829,0
-0.050629,-0.182947,0
-0.0552432,-0.207517,0
-0.0419955,-0.22872,0
-0.0293979,-0.250312,0
-0.0168551,-0.271939,0
-0.00442534,-0.293628,0
0.00872469,-0.314893,0
0.0217801,-0.336212,0
0.0347562,-0.357581,0
0.0477323,-0.378949,0
0.0609769,-0.400153,0
0.0742093,-0.421366,0
0.087399,-0.442603,0
0.100802,-0.463706,0
0.114169,-0.48483,0
0.127505,-0.505979,0
0.140829,-0.52713,0
0.154281,-0.548206,0
0.167709,-0.569287,0
0.181125,-0.590384,0
0.194534,-0.611487,0
0.208029,-0.632529,0
0.221505,-0.653589,0
0.234976,-0.674649,0
0.253677,-0.691236,0
0.270761,-0.709488,0
0.286197,-0.729157,0
0.300003,-0.749997,0
0.304324,-0.790546,0
0.318899,-0.810855,0
0.33475,-0.830188,0
