x,y,z
-0.0559634,-0.124832,0
-0.0563968,-0.157639,0
-0.0550815,-0.182605,0
-0.0552432,-0.207605,0
-0.0420047,-0.228812,0
-0.0294101,-0.250409,0
-0.0168704,-0.272037,0
-0.0044467,-0.293732,0
0.00870027,-0.314997,0
0.0217496,-0.336319,0
0.0347196,-0.357691,0
0.0476895,-0.379065,0
0.060867,-0.400309,0
0.0740506,-0.421549,0
0.0872159,-0.442801,0
0.100515,-0.463971,0
0.113827,-0.485132,0
0.127127,-0.506299,0
0.140451,-0.527457,0
0.153872,-0.548548,0
0.1673,-0.569635,0
0.180722,-0.590726,0
0.194149,-0.611814,0
0.207657,-0.632849,0
0.221158,-0.653891,0
0.234665,-0.67493,0
0.253457,-0.691416,0
0.270627,-0.709589,0
0.286129,-0.729196,0
0.300003,-0.749997,0
0.304202,-0.790638,0
0.318832,-0.81091,0
0.33472,-0.830213,0
0.350003,-0.849997,0
0.400003,-0.899997,0
0.448214,-0.942496,0
0.46929,-0.955936,0
0.491836,-0.966733,0
0.516751,-0.964615,0
0.541641,-0.962274,0
0.566604,-0.960981,0
0.591568,-0.959635,0
0.616543,-0.958551,0
0.641525,-0.957514,0
0.666513,-0.956757,0
0.691501,-0.95604,0
0.716494,-0.955497,0
0.741494,-0.954984,0
0.766488,-0.954587,0
0.791488,-0.954221,0
0.816482,-0.95394,0
0.841482,-0.953687,0
0.866482,-0.953504,0
0.891482,-0.953351,0
0.916482,-0.95326,0
0.941482,-0.953211,0
0.966482,-0.953226,0
0.991482,-0.953293,0
1.01648,-0.95344,0
1.04148,-0.953662,0
1.06648,-0.953989,0
1.09148,-0.954422,0
1.11647,-0.955002,0
1.14146,-0.955747,0
1.16644,-0.956699,0
1.19141,-0.957901,0
1.21637,-0.959354,0
1.2413,-0.961219,0
1.26626,-0.962693,0
1.29112,-0.96525,0
1.31597,-0.967993,0
1.34054,-0.972623,0
1.3648,-0.978669,0
1.38855,-0.986487,0
1.41231,-0.994242,0
1.43572,-1.00302,0
1.45908,-1.01193,0
