x,y,z
-0.0567172,-0.110559,0
-0.0495273,-0.157846,0
-0.0524539,-0.182675,0
-0.0552402,-0.20752,0
-0.0419955,-0.22872,0
-0.0293948,-0.250315,0
-0.0168521,-0.271939,0
-0.00442229,-0.293631,0
0.00872469,-0.314893,0
0.0217801,-0.336212,0
0.0347562,-0.357581,0
0.0477323,-0.378952,0
0.060983,-0.400153,0
0.0742093,-0.421366,0
0.087399,-0.442603,0
0.100808,-0.463706,0
0.114175,-0.48483,0
0.127505,-0.505979,0
0.140835,-0.52713,0
0.154275,-0.548209,0
0.167709,-0.569294,0
0.181125,-0.59039,0
0.194528,-0.611493,0
0.208023,-0.632538,0
0.221493,-0.653598,0
0.234964,-0.674659,0
0.253671,-0.691242,0
0.270761,-0.709491,0
0.286191,-0.729157,0
0.300003,-0.749997,0
0.350003,-0.799997,0
0.400003,-0.849997,0
0.450003,-0.899997,0
0.453061,-0.943927,0
0.474637,-0.956555,0
0.497635,-0.966361,0
0.522549,-0.964261,0
0.547445,-0.962018,0
0.572415,-0.960724,0
0.597378,-0.959409,0
0.622354,-0.958344,0
0.647336,-0.957334,0
0.672323,-0.956586,0
0.697317,-0.955881,0
0.722311,-0.955335,0
0.747305,-0.954822,0
0.772299,-0.954413,0
0.797299,-0.954035,0
0.822293,-0.953726,0
0.847293,-0.953443,0
0.872293,-0.953214,0
0.897293,-0.953006,0
0.922293,-0.952848,0
0.947293,-0.952707,0
0.972293,-0.952613,0
0.997293,-0.952542,0
1.02229,-0.952515,0
1.04729,-0.952521,0
1.07229,-0.952576,0
1.09729,-0.95268,0
1.12229,-0.952848,0
1.14729,-0.953083,0
1.17229,-0.953403,0
1.19728,-0.953824,0
1.22228,-0.954071,0
1.24727,-0.954666,0
1.27227,-0.954673,0
1.29724,-0.955872,0
1.3222,-0.957321,0
1.34693,-0.961023,0
1.37137,-0.966294,0
1.39521,-0.973807,0
1.41867,-0.982459,0
1.44174,-0.992078,0
1.46469,-1.00199,0
1.48711,-1.01306,0
1.50876,-1.02556,0
1.53003,-1.03869,0
1.55125,-1.05192,0
1.57267,-1.06481,0
