x,y,z
-0.00077834,-0.00051774,0
0.00408547,-0.00596183,0
0.00873139,-0.0118274,0
0.0141596,-0.0192703,0
0.0188821,-0.0308006,0
0.0969751,-0.0477271,0
0.215618,-0.101773,0
0.421157,-0.229717,0
0.55645,-0.333925,0
0.651421,-0.409306,0
0.736242,-0.471143,0
-0.000152211,-0.000336547,0
0.00436581,-0.00832555,0
0.00400252,-0.0172082,0
0.00290491,-0.0274871,0
0.0379466,-0.0391677,0
0.125979,-0.0632269,0
0.251712,-0.120695,0
0.433734,-0.23452,0
0.560184,-0.333683,0
0.653963,-0.409138,0
0.736242,-0.471143,0
0.000213364,-0.000227998,0
-0.00186018,-0.0221169,0
0.0324444,-0.0460771,0
0.17142,-0.0842802,0
0.302411,-0.147554,0
0.460979,-0.245689,0
0.57621,-0.336616,0
0.663059,-0.411134,0
0.736242,-0.471143,0
-7.19316e-05,-0.000269748,0
0.096807,-0.061137,0
0.234619,-0.135195,0
0.480104,-0.269527,0
0.637503,-0.390005,0
0.736242,-0.471143,0
-0.000710012,3.69794e-05,0
0.137162,-0.0682773,0
0.295476,-0.159864,0
0.483934,-0.284459,0
0.61997,-0.387147,0
0.736242,-0.471143,0
-8.41171e-05,0.000313197,0
0.138658,-0.0664331,0
0.297517,-0.158108,0
0.483152,-0.284348,0
0.618763,-0.387835,0
0.736242,-0.471143,0
-0.000245493,-0.000512726,0
0.138488,-0.0671266,0
0.29729,-0.158622,0
0.482931,-0.284678,0
0.618634,-0.387994,0
0.736242,-0.471143,0
-7.35661e-05,0.000241509,0
0.138662,-0.066495,0
0.297511,-0.158155,0
0.483142,-0.284379,0
0.618756,-0.387849,0
0.736242,-0.471143,0
-0.000193061,-0.000523488,0
0.138534,-0.0671305,0
0.297349,-0.158623,0
0.482993,-0.28467,0
0.618672,-0.387987,0
0.736242,-0.471143,0
-0.000384521,-0.000472143,0
0.13838,-0.0670812,0
0.297221,-0.158581,0
0.482897,-0.284648,0
0.61862,-0.387979,0
0.736242,-0.471143,0
-0.00158087,-0.000469927,0
0.13336,-0.0657324,0
0.28794,-0.15455,0
0.469254,-0.276429,0
0.601588,-0.376332,0
0.715747,-0.456834,0
-0.000931348,-0.000794509,0
0.138175,-0.067631,0
0.296845,-0.159125,0
0.482237,-0.284867,0
0.617695,-0.387804,0
0.736058,-0.471402,0
0.000334515,-0.000289142,0
0.138945,-0.0670011,0
0.297671,-0.158609,0
0.483178,-0.284759,0
0.618682,-0.38816,0
0.736058,-0.471402,0
-0.000182782,-5.49502e-05,0
0.138541,-0.0667754,0
0.297379,-0.158422,0
0.482992,-0.28464,0
0.618588,-0.388106,0
0.736058,-0.471402,0
-0.000875921,-0.000657728,0
0.137956,-0.0672512,0
0.296852,-0.158753,0
0.482582,-0.284852,0
0.618365,-0.388212,0
0.736058,-0.471402,0
-0.000484919,0.000691,0
0.138329,-0.0661378,0
0.297262,-0.157939,0
0.482937,-0.284343,0
0.618563,-0.387971,0
0.736058,-0.471405,0
-9.85298e-05,0.000373371,0
0.138628,-0.0664196,0
0.297486,-0.15816,0
0.483091,-0.284476,0
0.618644,-0.38803,0
0.736058,-0.471405,0
-0.000390593,-0.000317759,0
0.138356,-0.0669986,0
0.297173,-0.158587,0
0.482802,-0.284757,0
0.618478,-0.388169,0
0.736058,-0.471405,0
0.00195414,-0.00527395,0
0.139613,-0.07191,0
0.29587,-0.162597,0
0.479939,-0.287935,0
0.616476,-0.389919,0
