ID,X,Y,W,X,Y,Z
0,4.21226,-0.933643,0,0,-0.68464,0.728882
1,9.27629,2.29101,0,0,0.0297502,0.999557
2,9.32936,1.64396,0,0,0.0146525,0.999893
3,9.36477,0.891831,0,0,0.010911,0.99994
4,10.3779,-3.50921,0,0,0.00365927,0.999993
5,9.11813,-2.52128,0,0,-0.999924,0.0122962
6,9.15461,-2.90702,0,0,-0.999998,0.00214273
7,9.16437,-3.23184,0,0,0.999874,0.0158434
8,9.17481,-3.54942,0,0,0.999938,0.0111671
9,9.13023,-4.08381,0,0,-0.999887,0.0150482
10,9.15733,-4.49058,0,0,0.999989,0.0046879
